PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;11;12;28079011_12_8;2019;10;1;19;V;14;V;9;V;7;V;7;V;7;V;11;V;11;V;13;V;14;V;16;V;24;V;33;V;39;V;27;V;18;V;15;V;27;V;25;V;24;V;34;V;37;V;36;V;26;V
28;79;11;20;28079011_20_59;2019;10;1;000.7;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.8;V;000.3;V;000.3;V;000.5;V;000.7;V;000.7;V;000.8;V
28;79;11;30;28079011_30_59;2019;10;1;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;11;35;28079011_35_59;2019;10;1;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V
28;79;16;6;28079016_6_48;2019;10;1;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;16;7;28079016_7_8;2019;10;1;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;4;V;3;V;5;V;4;V;2;V;2;V;1;V;1;V;3;V;4;V;4;V;5;V;4;V
28;79;16;8;28079016_8_8;2019;10;1;41;V;13;V;7;V;11;V;7;V;11;V;11;V;18;V;21;V;17;V;18;V;20;V;14;V;17;V;9;V;7;V;8;V;6;V;10;V;18;V;33;V;50;V;54;V;47;V
28;79;16;12;28079016_12_8;2019;10;1;43;V;15;V;9;V;13;V;9;V;13;V;13;V;21;V;24;V;20;V;23;V;26;V;19;V;24;V;16;V;11;V;12;V;8;V;13;V;23;V;40;V;56;V;61;V;54;V
28;79;16;14;28079016_14_6;2019;10;1;42.42;V;58.97;V;65.39;V;59.27;V;59.85;V;55.00;V;54.32;V;46.00;V;40.95;V;44.65;V;47.39;V;51.31;V;60.35;V;65.91;V;76.11;V;75.20;V;74.59;V;68.72;V;57.72;V;43.45;V;35.13;V;21.94;V;15.86;V;18.86;V
28;79;17;1;28079017_1_38;2019;10;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V
28;79;17;7;28079017_7_8;2019;10;1;4;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;1;V;4;V;4;V;2;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;17;8;28079017_8_8;2019;10;1;62;V;28;V;14;V;14;V;13;V;13;V;12;V;21;V;32;V;39;V;26;V;35;V;27;V;17;V;14;V;11;V;13;V;10;V;15;V;19;V;41;V;57;V;62;V;52;V
28;79;17;12;28079017_12_8;2019;10;1;68;V;29;V;16;V;15;V;15;V;15;V;13;V;23;V;34;V;44;V;28;V;40;V;32;V;20;V;15;V;13;V;16;V;12;V;17;V;20;V;42;V;59;V;64;V;54;V
28;79;17;14;28079017_14_6;2019;10;1;30.86;V;53.12;V;60.09;V;58.92;V;60.93;V;54.65;V;54.94;V;43.09;V;28.56;V;23.86;V;42.04;V;38.50;V;50.89;V;64.10;V;72.64;V;76.64;V;73.50;V;73.88;V;60.91;V;48.20;V;25.13;V;16.11;V;09.99;V;16.11;V
28;79;18;1;28079018_1_38;2019;10;1;8;V;8;V;8;V;8;V;8;V;8;V;9;V;8;V;8;V;8;V;8;V;9;V;9;V;9;V;9;V;8;V;8;V;8;V;8;V;8;V;8;V;8;V;9;V;9;V
28;79;18;6;28079018_6_48;2019;10;1;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V
28;79;18;7;28079018_7_8;2019;10;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;2;V;4;V;6;V;7;V;7;V;5;V;4;V;2;V;2;V;2;V;3;V;3;V;7;V;9;V;6;V;3;V
28;79;18;8;28079018_8_8;2019;10;1;40;V;23;V;14;V;13;V;13;V;12;V;16;V;22;V;20;V;24;V;26;V;29;V;22;V;17;V;17;V;12;V;11;V;12;V;25;V;29;V;51;V;59;V;61;V;46;V
28;79;18;10;28079018_10_47;2019;10;1;7;V;13;V;22;V;15;V;15;V;16;V;15;V;17;V;16;V;17;V;17;V;18;V;18;V;16;V;15;V;21;V;12;V;6;V;6;V;12;V;22;V;19;V;11;V;8;V
28;79;18;12;28079018_12_8;2019;10;1;42;V;24;V;16;V;14;V;15;V;13;V;19;V;23;V;23;V;30;V;35;V;39;V;32;V;24;V;24;V;15;V;15;V;15;V;29;V;34;V;61;V;73;V;71;V;51;V
28;79;18;14;28079018_14_6;2019;10;1;38.57;V;47.25;V;54.18;V;51.78;V;48.78;V;47.92;V;41.62;V;32.65;V;31.63;V;29.50;V;34.66;V;40.62;V;51.45;V;59.56;V;63.71;V;69.08;V;69.79;V;67.19;V;47.84;V;37.30;V;16.11;V;12.33;V;08.86;V;15.96;V
28;79;18;20;28079018_20_59;2019;10;1;002.3;V;001.5;V;000.5;V;000.7;V;000.7;V;000.5;V;000.6;V;001.4;V;001.2;V;002.4;V;001.6;V;000.7;V;000.7;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.6;V;000.7;V;002.1;V;002.2;V;001.7;V
