PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2018;04;27;00002;V;00002;V;00001;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2018;04;27;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2018;04;27;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00006;V;00007;V;00009;V;00006;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N
28;079;4;8;28079004_8_8;2018;04;27;00045;V;00026;V;00017;V;00014;V;00012;V;00012;V;00014;V;00040;V;00051;V;00051;V;00046;V;00032;V;00028;V;00024;V;00023;V;00022;V;00024;V;00024;V;00019;V;00019;V;00021;V;00000;N;00000;N;00000;N
28;079;4;12;28079004_12_8;2018;04;27;00047;V;00027;V;00018;V;00016;V;00013;V;00014;V;00016;V;00049;V;00061;V;00065;V;00054;V;00035;V;00030;V;00025;V;00025;V;00023;V;00026;V;00025;V;00021;V;00020;V;00022;V;00000;N;00000;N;00000;N
28;079;8;1;28079008_1_38;2018;04;27;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N
28;079;8;6;28079008_6_48;2018;04;27;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.5;V;000.6;V;000.6;V;000.5;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;00000;N;00000;N;00000;N
28;079;8;7;28079008_7_8;2018;04;27;00004;V;00004;V;00003;V;00002;V;00002;V;00004;V;00008;V;00053;V;00064;V;00045;V;00039;V;00025;V;00017;V;00017;V;00016;V;00020;V;00015;V;00019;V;00020;V;00017;V;00012;V;00000;N;00000;N;00000;N
28;079;8;8;28079008_8_8;2018;04;27;00041;V;00044;V;00042;V;00037;V;00027;V;00032;V;00039;V;00082;V;00088;V;00074;V;00066;V;00060;V;00050;V;00047;V;00044;V;00052;V;00047;V;00055;V;00056;V;00053;V;00055;V;00000;N;00000;N;00000;N
28;079;8;9;28079008_9_47;2018;04;27;00003;V;00004;V;00010;V;00010;V;00007;V;00001;V;00001;V;00001;V;00001;V;00004;V;00013;V;00011;V;00011;V;00011;V;00019;V;00013;V;00008;V;00006;V;00006;V;00009;V;00001;V;00000;N;00000;N;00000;N
28;079;8;10;28079008_10_47;2018;04;27;00011;V;00011;V;00019;V;00018;V;00015;V;00003;V;00001;V;00001;V;00006;V;00013;V;00022;V;00019;V;00020;V;00030;V;00036;V;00024;V;00014;V;00012;V;00018;V;00020;V;00007;V;00000;N;00000;N;00000;N
28;079;8;12;28079008_12_8;2018;04;27;00048;V;00050;V;00047;V;00041;V;00029;V;00037;V;00052;V;00163;V;00187;V;00143;V;00126;V;00099;V;00076;V;00073;V;00069;V;00083;V;00070;V;00084;V;00087;V;00079;V;00073;V;00000;N;00000;N;00000;N
28;079;8;14;28079008_14_6;2018;04;27;60.28;V;53.40;V;49.95;V;51.35;V;57.99;V;48.61;V;40.56;V;11.35;V;13.45;V;26.38;V;37.29;V;54.54;V;69.40;V;72.15;V;73.18;V;67.26;V;73.06;V;71.71;V;67.53;V;60.68;V;57.11;V;00000;N;00000;N;00000;N
28;079;8;20;28079008_20_59;2018;04;27;001.9;V;001.6;V;001.7;V;001.5;V;001.4;V;001.2;V;001.0;V;001.4;V;004.5;V;004.1;V;006.1;V;002.9;V;002.5;V;002.2;V;001.6;V;001.8;V;001.3;V;001.5;V;001.6;V;001.4;V;001.3;V;00000;N;00000;N;00000;N
28;079;8;30;28079008_30_59;2018;04;27;000.6;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.5;V;001.4;V;001.3;V;001.6;V;000.9;V;000.7;V;000.5;V;000.6;V;000.7;V;000.4;V;000.6;V;000.6;V;000.5;V;000.5;V;00000;N;00000;N;00000;N
28;079;8;35;28079008_35_59;2018;04;27;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.7;V;000.7;V;001.0;V;000.5;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N
28;079;8;42;28079008_42_2;2018;04;27;01.42;V;01.41;V;01.42;V;01.42;V;01.41;V;01.42;V;01.41;V;01.48;V;01.53;V;01.52;V;01.45;V;01.43;V;01.39;V;01.38;V;01.38;V;01.38;V;01.37;V;01.39;V;01.40;V;01.39;V;01.40;V;00000;N;00000;N;00000;N
28;079;8;43;28079008_43_2;2018;04;27;01.37;V;01.37;V;01.37;V;01.38;V;01.38;V;01.39;V;01.39;V;01.41;V;01.41;V;01.40;V;01.39;V;01.37;V;01.35;V;01.35;V;01.34;V;01.34;V;01.34;V;01.36;V;01.36;V;01.35;V;01.35;V;00000;N;00000;N;00000;N
28;079;8;44;28079008_44_2;2018;04;27;00.05;V;00.04;V;00.05;V;00.05;V;00.03;V;00.04;V;00.03;V;00.07;V;00.13;V;00.12;V;00.06;V;00.05;V;00.04;V;00.04;V;00.04;V;00.04;V;00.03;V;00.04;V;00.04;V;00.04;V;00.05;V;00000;N;00000;N;00000;N
28;079;11;7;28079011_7_8;2018;04;27;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00011;V;00020;V;00019;V;00021;V;00015;V;00011;V;00011;V;00010;V;00017;V;00010;V;00012;V;00005;V;00003;V;00002;V;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2018;04;27;00016;V;00012;V;00010;V;00007;V;00009;V;00009;V;00017;V;00055;V;00062;V;00057;V;00051;V;00042;V;00032;V;00029;V;00029;V;00035;V;00028;V;00032;V;00022;V;00017;V;00017;V;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2018;04;27;00018;V;00013;V;00011;V;00009;V;00010;V;00010;V;00019;V;00072;V;00092;V;00086;V;00083;V;00065;V;00049;V;00046;V;00043;V;00061;V;00045;V;00051;V;00030;V;00022;V;00019;V;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2018;04;27;000.5;V;000.5;V;000.4;V;000.3;V;000.4;V;000.3;V;000.4;V;000.6;V;001.2;V;002.1;V;001.6;V;001.4;V;001.3;V;000.9;V;000.7;V;000.8;V;000.5;V;000.9;V;002.3;V;000.5;V;000.4;V;00000;N;00000;N;00000;N
